"latitude","longitude","country","country_code","year","value","score","gdp","support","life_expectancy","freedom","trust","generosity"
41.153332,20.168331,"Albania","ALB",2015,32.8,4.959,0.87867,0.80434,0.81325,0.35733,"0.06413",0.14272
40.069099,45.038189,"Armenia","ARM",2015,32.4,4.35,0.76821,0.77711,0.7299,0.19847,"0.039",0.07855
47.516231,14.550072,"Austria","AUT",2015,30.5,7.2,1.33723,1.29704,0.89042,0.62433,"0.18676",0.33088
50.503887,4.469936,"Belgium","BEL",2015,27.7,6.937,1.30782,1.28566,0.89667,0.5845,"0.2254",0.2225
42.733883,25.48583,"Bulgaria","BGR",2015,38.6,4.218,1.01216,1.10614,0.76649,0.30587,"0.00872",0.11921
9.30769,2.315834,"Benin","BEN",2015,47.8,3.34,0.28665,0.35386,0.3191,0.4845,"0.0801",0.1826
-16.290154,-63.588653,"Bolivia","BOL",2015,46.7,5.89,0.68133,0.97841,0.5392,0.57414,"0.088",0.20536
-14.235004,-51.92528,"Brazil","BRA",2015,51.9,6.983,0.98124,1.23287,0.69702,0.49049,"0.17521",0.14574
-22.328474,24.684866,"Botswana","BWA",2015,53.3,4.332,0.99355,1.10464,0.04776,0.49495,"0.12474",0.10461
53.709807,27.953389,"Belarus","BLR",2015,25.6,5.813,1.03192,1.23289,0.73608,0.37938,"0.1909",0.11046
56.130366,-106.346771,"Canada","CAN",2015,33.7,7.427,1.32629,1.32261,0.90563,0.63297,"0.32957",0.45811
46.818188,8.227512,"Switzerland","CHE",2015,32.3,7.587,1.39651,1.34951,0.94143,0.66557,"0.41978",0.29678
-35.675147,-71.542969,"Chile","CHL",2015,44.4,6.67,1.10715,1.12447,0.85857,0.44132,"0.12869",0.33363
35.86166,104.195397,"China","CHN",2015,38.6,5.14,0.89012,0.94675,0.81658,0.51697,"0.02781",0.08185
4.570868,-74.297333,"Colombia","COL",2015,51,6.477,0.91861,1.24018,0.69077,0.53466,"0.0512",0.18401
9.748917,-83.753428,"Costa Rica","CRI",2015,48.4,7.226,0.95578,1.23788,0.86027,0.63376,"0.10583",0.25497
35.126413,33.429859,"Cyprus","CYP",2015,34,5.689,1.20813,0.89318,0.92356,0.40672,"0.06146",0.30638
51.165691,10.451526,"Germany","DEU",2015,31.6,6.75,1.32792,1.29937,0.89186,0.61477,"0.21843",0.28214
56.26392,9.501785,"Denmark","DNK",2015,28.2,7.527,1.32548,1.36058,0.87464,0.64938,"0.48357",0.34139
18.735693,-70.162651,"Dominican Republic","DOM",2015,45.2,4.885,0.89537,1.17202,0.66825,0.57672,"0.14234",0.21684
-1.831239,-78.183406,"Ecuador","ECU",2015,46,5.975,0.86402,0.99903,0.79075,0.48574,"0.1809",0.11541
58.595272,25.013607,"Estonia","EST",2015,32.7,5.429,1.15174,1.22791,0.77361,0.44888,"0.15184",0.0868
40.463667,-3.74922,"Spain","ESP",2015,36.2,6.329,1.23011,1.31379,0.95562,0.45951,"0.06398",0.18227
9.145,40.489673,"Ethiopia","ETH",2015,35,4.512,0.19073,0.60406,0.44055,0.4345,"0.15048",0.24325
61.92411,25.748151,"Finland","FIN",2015,27.1,7.406,1.29025,1.31826,0.88911,0.64169,"0.41372",0.23351
46.227638,2.213749,"France","FRA",2015,32.7,6.575,1.27778,1.26038,0.94579,0.55011,"0.20646",0.12332
55.378051,-3.435973,"United Kingdom","GBR",2015,33.2,6.867,1.26637,1.28548,0.90943,0.59625,"0.32067",0.51912
42.315407,43.356892,"Georgia","GEO",2015,36.5,4.297,0.7419,0.38562,0.72926,0.40577,"0.38331",0.05547
39.074208,21.824312,"Greece","GRC",2015,36,4.857,1.15406,0.92933,0.88213,0.07699,"0.01397",0
15.199999,-86.241905,"Honduras","HND",2015,49.2,4.788,0.59532,0.95348,0.6951,0.40148,"0.06825",0.23027
45.1,15.2,"Croatia","HRV",2015,31.1,5.759,1.08254,0.79624,0.78805,0.25883,"0.0243",0.05444
47.162494,19.503304,"Hungary","HUN",2015,30.4,4.8,1.12094,1.20215,0.75905,0.32112,"0.02758",0.128
